Date,Open,High,Low,Close
04 August 2014,6679.18,6715.56,6669.93,6677.52
05 August 2014,6677.52,6713.52,6671.46,6682.48
06 August 2014,6682.48,6682.48,6588.43,6636.16
07 August 2014,6636.16,6649.05,6589.78,6597.37
08 August 2014,6597.37,6597.37,6528.73,6567.36
11 August 2014,6567.36,6645.83,6567.36,6632.82
12 August 2014,6632.82,6643.7,6612.52,6632.42
13 August 2014,6632.42,6664.34,6625.98,6656.68
14 August 2014,6656.68,6694.64,6641.81,6685.26
15 August 2014,6685.26,6742.82,6685.25,6689.08
18 August 2014,6689.08,6745.72,6689.08,6741.25
19 August 2014,6741.25,6782.9,6740.65,6779.31
20 August 2014,6779.31,6781.23,6739.76,6755.48
21 August 2014,6755.48,6780.73,6752.7,6777.66
22 August 2014,6777.66,6784.63,6746.37,6775.25
26 August 2014,6775.25,6827.32,6775.25,6822.76
27 August 2014,6822.76,6830.66,6813.24,6830.66
28 August 2014,6830.66,6831.19,6796.86,6805.8
29 August 2014,6805.8,6828.92,6782.63,6819.75
01 September 2014,6819.75,6825.31,6798.33,6825.31
02 September 2014,6825.31,6849.28,6812.31,6829.17
03 September 2014,6829.17,6898.62,6826.73,6873.58
04 September 2014,6873.58,6904.86,6866.25,6877.97
05 September 2014,6877.97,6884.96,6829.1,6855.1
08 September 2014,6855.1,6855.1,6773.78,6834.77
09 September 2014,6834.77,6846.18,6812.5,6829
10 September 2014,6829,6847.79,6800.04,6830.11
11 September 2014,6830.11,6857.54,6764.86,6799.62
12 September 2014,6799.62,6832.16,6799.39,6806.96
15 September 2014,6806.96,6813.87,6771.69,6804.21
16 September 2014,6804.21,6804.34,6748.09,6792.24
17 September 2014,6792.24,6816.89,6780.9,6780.9
18 September 2014,6780.9,6822.6,6769.58,6819.29
19 September 2014,6819.29,6876,6819.29,6837.92
22 September 2014,6837.92,6838.35,6766.89,6773.63
23 September 2014,6773.63,6777.27,6647.21,6676.08
24 September 2014,6676.08,6707.26,6651.98,6706.27
25 September 2014,6706.27,6726.4,6621.48,6639.71
26 September 2014,6639.71,6664,6615.12,6649.39
29 September 2014,6649.39,6653.94,6608.66,6646.6
30 September 2014,6646.6,6658.91,6601.62,6622.72
01 October 2014,6622.72,6622.81,6539.73,6557.52
02 October 2014,6557.52,6557.67,6446.39,6446.39
03 October 2014,6446.39,6542.87,6446.39,6527.91
06 October 2014,6527.91,6588.31,6527.91,6563.65
07 October 2014,6563.7,6563.8,6495.6,6495.6
08 October 2014,6495.6,6502.4,6453.8,6482.2
09 October 2014,6482.2,6544.2,6425.2,6431.9
10 October 2014,6431.9,6431.9,6328.4,6340
13 October 2014,6340,6387.4,6294.6,6366.2
14 October 2014,6366.2,6403.4,6304.3,6392.7
15 October 2014,6392.7,6405,6211.6,6211.6
16 October 2014,6211.6,6283,6072.7,6195.9
17 October 2014,6195.9,6313,6188,6310.3
20 October 2014,6310.3,6320.3,6238.6,6267.1
21 October 2014,6267.1,6372.3,6229.4,6372.3
22 October 2014,6372.3,6401.5,6341.4,6399.7
23 October 2014,6399.7,6430.3,6313.3,6419.2
24 October 2014,6419.2,6419.2,6372.4,6388.7
27 October 2014,6388.7,6443.8,6336.1,6363.5
28 October 2014,6363.5,6412,6363.5,6402.2
29 October 2014,6402.2,6475.4,6402.2,6453.9
30 October 2014,6453.9,6483.2,6378.2,6463.6
31 October 2014,6463.6,6553.4,6463.6,6546.5
03 November 2014,6546.5,6559.6,6478.5,6488
04 November 2014,6488,6510.3,6444.9,6454
05 November 2014,6454,6539.1,6454,6539.1
06 November 2014,6539.1,6580.2,6503.8,6551.2
07 November 2014,6551.2,6608.2,6551.2,6567.2
10 November 2014,6567.2,6611.3,6566.8,6611.3
11 November 2014,6611.3,6632.6,6605.3,6627.4
12 November 2014,6627.4,6629.3,6588.9,6611
13 November 2014,6611,6645.9,6596.9,6635.5
14 November 2014,6635.5,6654.4,6610.1,6654.4
17 November 2014,6654.4,6681.6,6616.1,6672
18 November 2014,6672,6714.1,6671.8,6709.1
19 November 2014,6709.1,6718.9,6678.1,6696.6
20 November 2014,6696.6,6696.8,6641.1,6678.9
21 November 2014,6678.9,6773.1,6678.9,6750.8
24 November 2014,6750.8,6764,6720.1,6729.8
25 November 2014,6729.8,6750.9,6709.3,6731.1
26 November 2014,6731.1,6765,6718.5,6729.2
27 November 2014,6729.2,6749.9,6713.8,6723.4
28 November 2014,6723.4,6734.7,6667.1,6722.6
01 December 2014,6722.6,6722.6,6637.4,6656.4
02 December 2014,6656.4,6744.3,6656.4,6742.1
03 December 2014,6742.1,6753.2,6713.8,6716.6
04 December 2014,6716.6,6734,6672.7,6679.4
05 December 2014,6679.4,6751.3,6679.4,6742.8
